,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,accuracy,macro avg,weighted avg,X
zul,support,280.0,86.0,511.0,33.0,113.0,73.0,1.0,2461.0,106.0,,342.0,740.0,1428.0,264.0,14.0,2388.0,0.6512031216128333,9226.0,9226.0,386.0
yor,precision,0.7148760330578512,0.8501400560224089,0.7917304747320061,0.8055842812823164,0.9208333333333333,0.800807537012113,,0.8331171638564635,0.8218390804597702,0.4186046511627907,0.8333333333333334,0.8285714285714286,1.0,0.7463054187192119,,0.7670575692963753,0.8207492795389049,0.7421866907226268,0.8228457123909728,0.0
yor,recall,0.7238493723849372,0.7252090800477897,0.6838624338624338,0.7766699900299102,0.9444444444444444,0.7391304347826086,,0.8815187557182068,0.5742971887550201,0.375,0.8140108534780464,0.48908730158730157,0.9929228591648974,0.9409937888198758,,0.8484669811320755,0.8207492795389049,0.7006308989471698,0.8207492795389049,0.0
yor,f1-score,0.7193347193347193,0.7827208252740167,0.7338537970191625,0.7908629441624364,0.9324894514767933,0.7687338501291989,,0.8566348077350523,0.6761229314420804,0.3956043956043956,0.8235587721487398,0.6150966936993137,0.9964488636363636,0.8324175824175826,,0.8057110862262039,0.8207492795389049,0.7153060480204039,0.8172399046316614,0.0
yor,support,239.0,837.0,756.0,1003.0,234.0,805.0,,4372.0,249.0,48.0,2027.0,1008.0,1413.0,966.0,,3392.0,0.8207492795389049,17350.0,17350.0,1.0
hau,precision,0.8729792147806005,0.66110183639399,0.7190332326283988,0.7826839826839826,0.7166666666666667,0.9548872180451128,0.0,0.8365717327655043,0.9475728155339805,0.8310991957104558,0.7146529562982005,0.8026881720430108,0.9992156862745099,0.405189620758483,,0.8087179487179487,0.8143541909573779,0.7338490543415488,0.8189443791368969,0.6885245901639344
hau,recall,0.7682926829268293,0.7749510763209393,0.601010101010101,0.7950747581354441,0.32908163265306123,0.6827956989247311,0.0,0.8550054406964092,0.8970588235294118,0.9217046580773043,0.5852631578947368,0.7457542457542458,1.0,0.7546468401486989,,0.840170484816196,0.8143541909573779,0.6876514065071198,0.8143541909573779,0.45161290322580644
hau,f1-score,0.8172972972972973,0.7135135135135136,0.6547455295735901,0.7888307155322861,0.4510489510489511,0.7962382445141065,0.0,0.8456881474505584,0.9216241737488196,0.8740601503759398,0.6435185185185184,0.7731745209735889,0.9996076892899176,0.5272727272727273,,0.8241442383067676,0.8143541909573779,0.6985136851794455,0.8122198486253132,0.5454545454545455
hau,support,492.0,511.0,396.0,1137.0,392.0,186.0,3.0,3676.0,544.0,2018.0,475.0,2002.0,1274.0,269.0,,1877.0,0.8143541909573779,15438.0,15438.0,186.0
swa,precision,0.8203542310936183,0.8826530612244898,0.6819787985865724,0.6987951807228916,0.6124818577648766,0.0,,0.8250544231149812,1.0,0.0,0.6666666666666666,0.7118119975262832,1.0,0.7447257383966245,,0.5780456852791879,0.7868607689436357,0.614837842691746,0.7843060823179443,0.0
swa,recall,0.9173215969820812,0.659047619047619,0.4519906323185012,0.6609686609686609,0.9882903981264637,0.0,,0.8703549060542798,0.6745283018867925,0.0,0.1791044776119403,0.7271004421983576,0.9651702786377709,0.5594294770206022,,0.6274104683195593,0.7868607689436357,0.5520478172781752,0.7868607689436357,0.0
swa,f1-score,0.8661323834965866,0.7546346782988004,0.5436619718309859,0.6793557833089312,0.7562724014336918,0.0,,0.8470994615462767,0.8056338028169014,0.0,0.2823529411764706,0.719375,0.9822764868058291,0.6389140271493212,,0.6017173051519155,0.7868607689436357,0.5651617495343807,0.7791563549023326,0.0
swa,support,3181.0,1050.0,854.0,351.0,427.0,16.0,,4790.0,212.0,100.0,134.0,1583.0,1292.0,631.0,,1452.0,0.7868607689436357,16074.0,16074.0,1.0
