,ibo,sna,bbj,wol,bam,ewe,mos,nya,lug,xho,kin,pcm,twi,fon,zul,yor,hau,swa
n_params,18627857,20805905,17008913,18458897,18425873,18173969,18100241,20052497,19953425,23429393,20603921,19123217,19255313,16715537,22204433,17350673,18281489,20317457
vocab_size,5264,8100,3156,5044,5001,4673,4577,7119,6990,11516,7837,5909,6081,2774,9921,3601,4813,7464
