,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,accuracy,macro avg,weighted avg,X
ibo,precision,0.8154761904761905,0.7677725118483413,0.13493530499075784,0.5138339920948617,0.43705463182897863,0.7120717781402937,0.0,0.8620643251244785,0.84472049689441,0.0,0.7519582245430809,0.7981770833333334,0.9934569247546347,0.2980132450331126,0.0,0.8894677236693092,0.8014926731591882,0.5511876520457364,0.8053640409242198,
ibo,recall,0.8634453781512605,0.6821052631578948,0.37435897435897436,0.7831325301204819,0.6583184257602862,0.747431506849315,0.0,0.8845622756144711,0.6355140186915887,0.0,0.903954802259887,0.5,0.9945414847161572,0.055762081784386616,0.0,0.8699601240584847,0.8014926731591882,0.5595679290951993,0.8014926731591882,
ibo,f1-score,0.8387755102040817,0.7224080267558529,0.19836956521739132,0.6205250596658711,0.5253390435403283,0.7293233082706768,0.0,0.8731684045525795,0.7253333333333335,0.0,0.8209806157354618,0.6148445336008024,0.993998908892526,0.09394572025052192,0.0,0.8796057789226117,0.8014926731591882,0.5397886130588774,0.7957047751980518,
ibo,support,476.0,1425.0,195.0,498.0,559.0,1168.0,1.0,7242.0,428.0,3.0,1593.0,1226.0,1832.0,807.0,7.0,4514.0,0.8014926731591882,21974.0,21974.0,
sna,precision,0.536,0.733054074638233,0.42857142857142855,0.7855329949238579,0.6288343558282209,0.7666290868094702,,0.8518324607329842,0.9220183486238532,0.0,0.669683257918552,0.7648686030428768,0.9750390015600624,0.9090909090909091,0.75,0.6532116532116532,0.7689579571833892,0.6916244116634734,0.7672721121721461,
sna,recall,0.25868725868725867,0.918854415274463,0.334020618556701,0.7404306220095693,0.5324675324675324,0.8242424242424242,,0.8629010872447627,0.78515625,0.0,0.6040816326530613,0.6352670878805284,0.984251968503937,0.5483870967741935,0.1875,0.7549695740365111,0.7689579571833892,0.598081171222063,0.7689579571833892,
sna,f1-score,0.34895833333333337,0.8155051895784792,0.37543453070683663,0.7623152709359605,0.5766526019690577,0.794392523364486,,0.8573310499275457,0.8481012658227848,0.0,0.6351931330472103,0.6940696579855663,0.9796238244514106,0.6841046277665995,0.3,0.7004140007527286,0.7689579571833892,0.6248064006428,0.7618226863107131,
sna,support,518.0,2095.0,485.0,836.0,385.0,825.0,,3771.0,512.0,2.0,245.0,1741.0,1270.0,310.0,48.0,2465.0,0.7689579571833892,15508.0,15508.0,
bbj,precision,0.7175141242937854,0.6261022927689595,0.5379061371841155,0.5793650793650794,0.8446601941747572,0.760539629005059,0.0,0.693368700265252,0.9777777777777777,0.41459627329192544,0.7353244078269825,0.6711026615969582,1.0,0.5577889447236181,,0.6479952830188679,0.6738701184730145,0.650936100352876,0.6859928903860891,
bbj,recall,0.5934579439252337,0.7683982683982684,0.5797665369649806,0.6797020484171322,0.4887640449438202,0.6021361815754339,0.0,0.7004287245444801,0.4467005076142132,0.4734042553191489,0.7484276729559748,0.4842249657064472,1.0,0.7655172413793103,,0.7053915275994865,0.6738701184730145,0.6024213279562621,0.6738701184730145,
bbj,f1-score,0.6496163682864451,0.6899902818270165,0.5580524344569289,0.6255355612682091,0.6192170818505338,0.6721311475409837,0.0,0.6968808317781925,0.6132404181184669,0.4420529801324503,0.7418181818181818,0.5625498007968127,1.0,0.6453488372093024,,0.6754763368162261,0.6738701184730145,0.6127940174599833,0.6732793852785628,
bbj,support,214.0,462.0,257.0,537.0,178.0,749.0,2.0,1866.0,197.0,564.0,954.0,729.0,559.0,290.0,,1558.0,0.6738701184730145,9116.0,9116.0,
wol,precision,0.0,0.9097744360902256,0.8737201365187713,0.9327485380116959,0.9209770114942529,0.777124183006536,1.0,0.8159044567433732,0.9778911564625851,0.9385964912280702,0.8584382871536524,0.7537227949599083,0.9567307692307693,0.870722433460076,1.0,0.7835683629675047,0.8505436345855146,0.8356199410829638,0.8513879275996341,
wol,recall,0.0,0.933641975308642,0.735632183908046,0.9345703125,0.9682779456193353,0.8710622710622711,0.2222222222222222,0.7989161437535653,0.799721835883171,0.9771689497716894,0.8168744007670182,0.6014625228519196,0.9977715877437325,0.7582781456953642,0.25,0.8673227010519172,0.8505436345855146,0.7208076998836809,0.8505436345855146,
wol,f1-score,0.0,0.9215536938309216,0.798751950078003,0.9336585365853659,0.9440353460972019,0.8214162348877375,0.3636363636363636,0.8073209396166595,0.8798775822494261,0.9574944071588366,0.8371407516580693,0.6690391459074733,0.9768202890646306,0.8106194690265487,0.4,0.8233209856659688,0.8505436345855146,0.7465428559664504,0.848906646854027,
wol,support,3.0,1296.0,348.0,1024.0,662.0,1365.0,9.0,3506.0,719.0,219.0,2086.0,1094.0,1795.0,302.0,8.0,2947.0,0.8505436345855146,17383.0,17383.0,
bam,precision,0.5901639344262295,0.6484848484848484,0.6710775047258979,0.8888888888888888,0.8739770867430442,0.0,,0.8315811606391926,0.8252788104089219,0.9052275291462956,0.9520993494973389,0.7978142076502732,0.9990277102576568,0.5,1.0,0.7467382962394474,0.8619091751621872,0.7018974579442523,0.8593323394254856,0.0
bam,recall,0.4044943820224719,0.6096866096866097,0.7142857142857143,0.8275862068965517,0.9128205128205128,0.0,,0.8696130167106421,0.7708333333333334,0.9601116872756282,0.943728018757327,0.37435897435897436,0.986084452975048,0.6732673267326733,0.25,0.7234200743494423,0.8619091751621872,0.6262681443878081,0.8619091751621872,0.0
