,ibo,sna,bbj,wol,bam,ewe,mos,nya,lug,xho,kin,pcm,twi,fon,zul,yor,hau,swa
n_params,18950417,21525521,17346833,18894353,18922001,18364433,18286097,20797457,20511761,24556817,21545489,19777553,19719953,16951313,23105297,17624081,18657041,20836625
vocab_size,5684,9037,3596,5611,5647,4921,4819,8089,7717,12984,9063,6761,6686,3081,11094,3957,5302,8140
