,ibo,sna,bbj,wol,bam,ewe,mos,nya,lug,xho,kin,pcm,twi,fon,zul,yor,hau,swa
n_params,18951185,21524753,17348369,18893585,18922001,18365201,18287633,20797457,20511761,24556817,21546257,19781393,19719185,16951313,23106833,17624081,18656273,20836625
vocab_size,5685,9036,3598,5610,5647,4922,4821,8089,7717,12984,9064,6766,6685,3081,11096,3957,5301,8140
